load_case_id,node_id,x_m,ux_mm,uy_mm,uz_mm,translation_mm
LC-STR-01,174,-2.5,-0.26272632705489096,-0.765696426774318,0.0005439387628241318,0.8095161744968966
LC-STR-01,175,-2.5,-0.26343246500245504,-0.06493084013047219,-0.03595708123664115,0.27368885492174694
LC-STR-01,176,-2.5,-0.26271554722430973,-0.6634106619417478,-0.38185944578531666,0.8092896894603475
LC-STR-01,177,-2.5,-0.26388755522457547,-0.03673582406934982,-0.06411026235968063,0.2740370199668006
LC-STR-01,178,-2.5,-0.26272291520627683,-0.38228243223711034,-0.6632324558245906,0.8093457102071542
LC-STR-01,179,-2.5,-0.26272249442395196,-0.0005414968832243975,-0.7656987823700673,0.8095171570870019
LC-STR-01,180,-2.5,-0.2634328938558216,0.035955140833089365,-0.0649344162734329,0.2736898612195039
LC-STR-01,181,-2.5,-0.262714473444305,0.3818574890987309,-0.6634141963099064,0.8092913149190623
LC-STR-01,182,-2.5,-0.26388872109018746,0.06410739439536584,-0.03674032784124002,0.274038075501671
LC-STR-01,183,-2.5,-0.26272567205915787,0.663229553022662,-0.3822869131306206,0.8093463428672022
LC-STR-01,184,-2.5,-0.2627263270576835,0.7656964267742213,-0.0005439387628896148,0.8095161744977114
LC-STR-01,185,-2.5,-0.26343246500245954,0.06493084013037492,0.035957081236575865,0.27368885492171957
LC-STR-01,186,-2.5,-0.26271554722543927,0.6634106619416512,0.3818594457852521,0.8092896894606045
LC-STR-01,187,-2.5,-0.2638875552245696,0.03673582406925263,0.06411026235961524,0.2740370199667666
LC-STR-01,188,-2.5,-0.26272291520568275,0.3822824322370135,0.6632324558245265,0.8093457102068632
LC-STR-01,189,2.5,-0.3343854449226139,0.0005425575379172244,0.27305397796780395,0.4317086923248342
LC-STR-01,190,2.5,-0.33547925906558923,-0.015200940816244861,0.025852484444266747,0.3368170910402808
LC-STR-01,191,2.5,-0.3343856354215019,-0.13709152827058613,0.2363544501692078,0.4318231888338039
LC-STR-01,192,2.5,-0.3350136421769573,-0.025026663671882218,0.015984868434941193,0.33632720728198345
LC-STR-01,193,2.5,-0.33437604410217164,-0.23617190012753325,0.13751919976284882,0.4318518676382925
LC-STR-01,194,2.5,-0.3343852206143569,-0.27305335710417,0.0005443230166586057,0.43170812811286746
LC-STR-01,195,2.5,-0.33547922013235326,-0.025851480249894317,-0.015200749837873015,0.33681696656694154
LC-STR-01,196,2.5,-0.33438565293389655,-0.2363534129357642,-0.1370913174716528,0.431822567752689
LC-STR-01,197,2.5,-0.33501362011574926,-0.015982979007794516,-0.025027357906619998,0.33632714717193024
LC-STR-01,198,2.5,-0.3343762848534746,-0.13751729223055495,-0.23617255952404634,0.43185180722902505
LC-STR-01,199,2.5,-0.33438544491402256,-0.0005425575380652039,-0.27305397796792225,0.43170869231825465
LC-STR-01,200,2.5,-0.3354792590656042,0.015200940816095307,-0.025852484444383355,0.33681709104029783
LC-STR-01,201,2.5,-0.33438563541693256,0.13709152827043478,-0.23635445016932619,0.43182318883028226
LC-STR-01,202,2.5,-0.33501364217697377,0.025026663671737386,-0.015984868435053638,0.33632720728199444
LC-STR-01,203,2.5,-0.33437604409811605,0.2361719001273877,-0.13751919976296034,0.4318518676351082
LC-STR-01,204,2.5,-0.33438522061225007,0.2730533571040234,-0.0005443230167720953,0.431708128111143
LC-STR-01,205,2.5,-0.3354792201323522,0.025851480249748662,0.0152007498377601,0.33681696656692417
LC-STR-01,206,2.5,-0.33438565293942574,0.23635341293561737,0.1370913174715376,0.4318225677568537
LC-STR-01,207,2.5,-0.3350136201157485,0.015982979007652585,0.02502735790650333,0.33632714717191403
LC-STR-01,208,2.5,-0.3343762848640377,0.13751729223041248,0.23617255952392577,0.4318518072370926
